,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score
40,"the cross - section of a cannel is a trapezium in shape . if the cannel is 14 m wide at the top and 8 m wide at the bottom and the area of cross - section is 550 sq m , the depth of cannel is ?","""1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c""","a ) 76 , b ) 28 , c ) 50 , d ) 80 , e ) 25",c,"divide(divide(divide(550, divide(add(14, 8), const_2)), 8), const_2)","add(n0,n1)|divide(#0,const_2)|divide(n2,#1)|divide(#2,n1)|divide(#3,const_2)|",physics,Category: physics # 1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c # ,"Category: physics # 1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c # the cross - section of a cannel is a trapezium in shape . if the cannel is 14 m wide at the top and 8 m wide at the bottom and the area of cross - section is 550 sq m , the depth of cannel is ?",category physics 1 2 14 8 550 50 answer c cross section cannel trapezium shape cannel 14 wide top 8 wide bottom area cross section 550 sq depth cannel,4,"['Category: physics # 1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c # ƫ at the gym was climbing to the gym, and she took a shower on her way to the gym. she spent $ 550 dollars around the gym and finished yoga 8 of yoga at the gym, she spent $ 350 dollars on cleaning the gym and 8 percent less than the gym. she spent the rest on her way home and took out her ride at the gym, leaving $ 350 dollars from gym. she spent the rest on her way home and spends the rest on her way home to the gym. she spent the rest on her way home. she spent the rest on her way home and the rest on her way to the gym. she spent the rest on her way home and she spent the rest on her way to the gym. she spent the rest on her way home ; the fraction that she spent on her way home was what fraction of the total amount she spent on her way to the gym?']","(0.29, 4.0)"
41,kim finds a 4 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?,"""3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c""","a ) 2 / 5 , b ) 7 / 5 , c ) 3 / 5 , d ) 8 / 15 , e ) 1 / 2",c,"subtract(const_1, add(add(divide(4, multiply(add(const_2, 4), 4)), divide(const_2, multiply(add(const_2, 4), 4))), divide(const_1, multiply(add(const_2, 4), 4))))","add(const_2,n0)|multiply(n0,#0)|divide(n0,#1)|divide(const_2,#1)|divide(const_1,#1)|add(#2,#3)|add(#5,#4)|subtract(const_1,#6)|",physics,"Category: physics # 3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c # ","Category: physics # 3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c # kim finds a 4 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?",category physics 3 pieces 1 5 length two piece 1 15 2 15 lengths removing one piece pieces kind lengths remain 2 pieces 1 5 e 2 5 1 piece 1 15 1 piece 2 15 gives us 2 5 1 15 2 15 3 5 answer c kim finds 4 meter tree branch marks thirds fifths breaks branch along markings removes one piece every distinct length fraction original branch remains,4,"['Category: physics # 3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths. removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i. e 2 / 5, 1 piece of 1 / 15, and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c # ƫ ngof a piece of art is available to obtain an extra piece of art for which the gallery must be finished independently in order to obtain an extra piece of art for which the gallery must be completed in time taken by the gallery to complete the painting. if the pieces of art were not rented, what was the approximate number of pieces of art must be sold?']","(0.63, 12.0)"
46,"if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ?","let 1 man ' s 1 day ' s work = x and 1 women ' s 1 day ' s work = y . then , 6 x + 8 y = 1 and 26 x + 48 y = 1 . 10 2 solving these two equations , we get : x = 1 and y = 1 . 100 200 ( 15 men + 20 women ) ' s 1 day ' s work = 15 + 20 = 1 . 100 200 4 15 men and 20 women can do the work in 4 days . hence answer will be b","a ) 5 , b ) 4 , c ) 6 , d ) 7 , e ) 8",b,"divide(multiply(add(divide(8, divide(subtract(multiply(48, 2), multiply(8, 10)), subtract(multiply(6, 10), multiply(26, 2)))), 6), 10), add(divide(20, divide(subtract(multiply(48, 2), multiply(8, 10)), subtract(multiply(6, 10), multiply(26, 2)))), 15))","multiply(n4,n5)|multiply(n1,n2)|multiply(n0,n2)|multiply(n3,n5)|subtract(#0,#1)|subtract(#2,#3)|divide(#4,#5)|divide(n1,#6)|divide(n7,#6)|add(n0,#7)|add(n6,#8)|multiply(n2,#9)|divide(#11,#10)",physics,"Category: physics # let 1 man ' s 1 day ' s work = x and 1 women ' s 1 day ' s work = y . then , 6 x + 8 y = 1 and 26 x + 48 y = 1 . 10 2 solving these two equations , we get : x = 1 and y = 1 . 100 200 ( 15 men + 20 women ) ' s 1 day ' s work = 15 + 20 = 1 . 100 200 4 15 men and 20 women can do the work in 4 days . hence answer will be b # ","Category: physics # let 1 man ' s 1 day ' s work = x and 1 women ' s 1 day ' s work = y . then , 6 x + 8 y = 1 and 26 x + 48 y = 1 . 10 2 solving these two equations , we get : x = 1 and y = 1 . 100 200 ( 15 men + 20 women ) ' s 1 day ' s work = 15 + 20 = 1 . 100 200 4 15 men and 20 women can do the work in 4 days . hence answer will be b # if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ?",category physics let 1 man 1 day work x 1 women 1 day work 6 x 8 1 26 x 48 1 10 2 solving two equations get x 1 1 100 200 15 men 20 women 1 day work 15 20 1 100 200 4 15 men 20 women work 4 days hence answer b 6 men 8 women piece work 10 days 26 men 48 women 2 days time taken 15 men 20 women type work,2,"[""Category: physics # let 1 man's 1 day's work = x and 1 women's 1 day's work = y. then, 6 x + 8 y = 1 and 26 x + 48 y = 1. 10 2 solving these two equations, we get : x = 1 and y = 1. 100 200 ( 15 men + 20 women )'s 1 day's work = 15 + 20 = 1. 100 200 4 15 men and 20 women can do the work in 4 days. hence answer will be b # ian can do a piece of work in 15 days and 8 days respectively. they began the work together but 4 days later, 2 days before the completion of the work were finished. how many women do they work?""]","(0.67, 24.0)"
49,"how many cuboids of length 5 m , width 3 m and height 2 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .","""( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c .""","a ) 106 , b ) 109 , c ) 108 , d ) 101 , e ) 104",c,"divide(multiply(multiply(18, 15), 2), multiply(multiply(5, 3), 2))","multiply(n3,n4)|multiply(n0,n1)|multiply(n5,#0)|multiply(n2,#1)|divide(#2,#3)|",physics,Category: physics # ( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c . # ,"Category: physics # ( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c . # how many cuboids of length 5 m , width 3 m and height 2 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .",category physics 18 15 12 5 3 2 108 answer c many cuboids length 5 width 3 height 2 farmed cuboid 18 length 15 width 2 height,4,"[""Category: physics # ( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c. # ƫ ™ s daily earnings are $ 4.05 for eachdayhe works. he earns an average commission of $ 4.05 for each day is worked so that the average ( arithmetic mean ) price of the work is $ 3.00 per day. if ƫ ™ s daily earnings were $ 8.00 for each day, the average price of the work would be $ 6.00 per day. if joe and sam were to leave work, what was the ratio of the average price of a worker's daily sales to that of ƫ ™ s daily sales?""]","(0.41, 6.0)"
56,find the length of the wire required to go 14 times round a square field containing 5625 m 2 .,"""a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c""","a ) 15840 , b ) 3388 , c ) 4200 , d ) 8766 , e ) 66711",c,"multiply(square_perimeter(square_edge_by_area(5625)), 14)","square_edge_by_area(n1)|square_perimeter(#0)|multiply(n0,#1)|",physics,Category: physics # a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c # ,Category: physics # a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c # find the length of the wire required to go 14 times round a square field containing 5625 m 2 .,category physics 2 5625 75 4 300 300 14 4200 answer c find length wire required go 14 times round square field containing 5625 2,4,"['Category: physics # a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c # ƫ in srik and prikash can do a piece of work in 10 days, 15 days and 18 days respectively. how many days will they take to complete the work?']","(0.64, 3.0)"
57,"how many bricks , each measuring 25 cm x 11.25 cm x 6 cm , will be needed to build a wall of 1 m x 2 m x 20 cm ?","""number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237 . answer : option c""","a ) 5600 , b ) 6000 , c ) 237 , d ) 7200 , e ) 8600",c,"divide(multiply(multiply(multiply(1, const_100), multiply(2, const_100)), 20), multiply(multiply(25, 11.25), 6))","multiply(n3,const_100)|multiply(n4,const_100)|multiply(n0,n1)|multiply(#0,#1)|multiply(n2,#2)|multiply(n5,#3)|divide(#5,#4)|",physics,Category: physics # number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237 . answer : option c # ,"Category: physics # number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237 . answer : option c # how many bricks , each measuring 25 cm x 11.25 cm x 6 cm , will be needed to build a wall of 1 m x 2 m x 20 cm ?",category physics number bricks volume wall volume 1 brick 100 x 200 x 20 25 x 1125 x 6 237 answer option c many bricks measuring 25 cm x 1125 cm x 6 cm needed build wall 1 x 2 x 20 cm,4,['Category: physics # number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237. answer : option c # ƒ digging and bottom = 125 cm then how many bricks will be there in a cubical block?'],"(0.66, 6.0)"
58,"spanish language broadcast records last 90 min on each of two sides . if it takes 3 hours to translate one hour of broadcast , how long will it take to translate 16 full records ?","records last 90 min on each of 2 sides , = = > record last 90 * 2 = 180 min = 3 hours 16 full records - - > 16 * 3 = 48 hour broadcast given , 3 hours to translate 1 hour of broadcast let x be the time required to translate 48 hour broadcast ( 16 full records ) x = 48 * 3 = 144 hours answer : a","a ) 144 hours , b ) 124 hours , c ) 134 hours , d ) 154 hours , e ) 164 hours",a,"multiply(multiply(divide(multiply(90, const_2), const_60), 16), 3)","multiply(n0,const_2)|divide(#0,const_60)|multiply(n2,#1)|multiply(n1,#2)",physics,"Category: physics # records last 90 min on each of 2 sides , = = > record last 90 * 2 = 180 min = 3 hours 16 full records - - > 16 * 3 = 48 hour broadcast given , 3 hours to translate 1 hour of broadcast let x be the time required to translate 48 hour broadcast ( 16 full records ) x = 48 * 3 = 144 hours answer : a # ","Category: physics # records last 90 min on each of 2 sides , = = > record last 90 * 2 = 180 min = 3 hours 16 full records - - > 16 * 3 = 48 hour broadcast given , 3 hours to translate 1 hour of broadcast let x be the time required to translate 48 hour broadcast ( 16 full records ) x = 48 * 3 = 144 hours answer : a # spanish language broadcast records last 90 min on each of two sides . if it takes 3 hours to translate one hour of broadcast , how long will it take to translate 16 full records ?",category physics records last 90 min 2 sides record last 90 2 180 min 3 hours 16 full records 16 3 48 hour broadcast given 3 hours translate 1 hour broadcast let x time required translate 48 hour broadcast 16 full records x 48 3 144 hours answer spanish language broadcast records last 90 min two sides takes 3 hours translate one hour broadcast long take translate 16 full records,0,"['Category: physics # records last 90 min on each of 2 sides, = = > record last 90 * 2 = 180 min = 3 hours 16 full records - - > 16 * 3 = 48 hour broadcast given, 3 hours to translate 1 hour of broadcast let x be the time required to translate 48 hour broadcast ( 16 full records ) x = 48 * 3 = 144 hours answer : a # т needs to bring several computers for the total number of hours. she spends 60 percent of her total hours working out all these computers per hour, leaving 20 % unspent. if she spends the rest of her job paying out her vacation, what portion of her total weekly did she spend in the first hour?']","(0.66, 3.0)"
60,"a can do a piece of work in 4 hours ; b and c together can do it in 3 hours , which a and c together can do it in 2 hours . how long will b alone take to do it ?","""a ' s 1 hour work = 1 / 4 ; ( b + c ) ' s 1 hour work = 1 / 3 ; ( a + c ) ' s 1 hour work = 1 / 2 ( a + b + c ) ' s 1 hour work = ( 1 / 4 + 1 / 3 ) = 7 / 12 b ' s 1 hour work = ( 7 / 12 + 1 / 2 ) = 1 / 12 b alone will take 12 hours to do the work . answer : c""","a ) 15 hours , b ) 14 hours , c ) 12 hours , d ) 74 hours , e ) 79 hours",c,"divide(const_1, subtract(divide(const_1, 3), subtract(divide(const_1, 2), divide(const_1, 4))))","divide(const_1,n1)|divide(const_1,n2)|divide(const_1,n0)|subtract(#1,#2)|subtract(#0,#3)|divide(const_1,#4)|",physics,Category: physics # a ' s 1 hour work = 1 / 4 ; ( b + c ) ' s 1 hour work = 1 / 3 ; ( a + c ) ' s 1 hour work = 1 / 2 ( a + b + c ) ' s 1 hour work = ( 1 / 4 + 1 / 3 ) = 7 / 12 b ' s 1 hour work = ( 7 / 12 + 1 / 2 ) = 1 / 12 b alone will take 12 hours to do the work . answer : c # ,"Category: physics # a ' s 1 hour work = 1 / 4 ; ( b + c ) ' s 1 hour work = 1 / 3 ; ( a + c ) ' s 1 hour work = 1 / 2 ( a + b + c ) ' s 1 hour work = ( 1 / 4 + 1 / 3 ) = 7 / 12 b ' s 1 hour work = ( 7 / 12 + 1 / 2 ) = 1 / 12 b alone will take 12 hours to do the work . answer : c # a can do a piece of work in 4 hours ; b and c together can do it in 3 hours , which a and c together can do it in 2 hours . how long will b alone take to do it ?",category physics 1 hour work 1 4 b c 1 hour work 1 3 c 1 hour work 1 2 b c 1 hour work 1 4 1 3 7 12 b 1 hour work 7 12 1 2 1 12 b alone take 12 hours work answer c piece work 4 hours b c together 3 hours c together 2 hours long b alone take,2,"[""Category: physics # a's 1 hour work = 1 / 4 ; ( b + c )'s 1 hour work = 1 / 3 ; ( a + c )'s 1 hour work = 1 / 2 ( a + b + c )'s 1 hour work = ( 1 / 4 + 1 / 3 ) = 7 / 12 b's 1 hour work = ( 7 / 12 + 1 / 2 ) = 1 / 12 b alone will take 12 hours to do the work. answer : c # т can do a piece of work in 4 hours, but with the help of her friend she can do it in only 12 hours. in how much time will they complete the work?""]","(0.76, 2.0)"
61,how many seconds will a 650 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,"""explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec . answer : d""","a ) 48 , b ) 36 , c ) 26 , d ) 39 , e ) 18",d,"divide(650, multiply(subtract(63, 3), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,Category: physics # explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec . answer : d # ,Category: physics # explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec . answer : d # how many seconds will a 650 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,category physics explanation distance 650 mts speed 63 3 60 kmph 60 x 5 18 time 39 sec answer many seconds 650 meter long train moving speed 63 km hr take cross man walking speed 3 km hr direction train,1,['Category: physics # explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec. answer : d # т to a nearby port sells them at the rate of 63 kmph and 10 kmph. the time it took to ship them was 38 seconds. what was the time it took to ship them?'],"(0.53, 3.0)"
62,today is thursday . i came home from a trip 3 days before the day after last monday . how many days have i been home ?,"d 6 days the day after last monday was tuesday . if i came home 3 days before that , i came home on saturday , sunday , monday , tuesday , wednesday , and thursday = 6 days .","a ) 1 day , b ) 2 days , c ) 7 days , d ) 6 days , e ) 10 days",d,"add(add(3, const_1), const_2)","add(n0,const_1)|add(#0,const_2)",physics,"Category: physics # d 6 days the day after last monday was tuesday . if i came home 3 days before that , i came home on saturday , sunday , monday , tuesday , wednesday , and thursday = 6 days . # ","Category: physics # d 6 days the day after last monday was tuesday . if i came home 3 days before that , i came home on saturday , sunday , monday , tuesday , wednesday , and thursday = 6 days . # today is thursday . i came home from a trip 3 days before the day after last monday . how many days have i been home ?",category physics 6 days day last monday tuesday came home 3 days came home saturday sunday monday tuesday wednesday thursday 6 days today thursday came home trip 3 days day last monday many days home,2,"['Category: physics # d 6 days the day after last monday was tuesday. if i came home 3 days before that, i came home on saturday, sunday, monday, tuesday, wednesday, and thursday = 6 days. # �_ s home was on sundays for 6 of the month. for how many days last week, she did the job working at the rate of 12 a day?']","(0.54, 2.0)"
64,"in one hour , a boat goes 19 km along the stream and 5 km against the stream . the speed of the boat in still water ( in km / hr ) is :","""sol . speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph . answer d""","a ) 2 , b ) 4 , c ) 7 , d ) 12 , e ) 15",d,"divide(add(19, 5), const_2)","add(n0,n1)|divide(#0,const_2)|",physics,Category: physics # sol . speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph . answer d # ,"Category: physics # sol . speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph . answer d # in one hour , a boat goes 19 km along the stream and 5 km against the stream . the speed of the boat in still water ( in km / hr ) is :",category physics sol speed still water 1 2 19 5 kmph 12 kmph answer one hour boat goes 19 km along stream 5 km stream speed boat still water km hr,3,['Category: physics # sol. speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph. answer d # ƫ goes at a speed of 19 km / hr and goes at 5 km / hr. after 15 minutes he goes 10 km / hr. what is his speed in km per hour?'],"(0.5, 2.0)"
71,a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ?,"""speed = ( 54 x 5 / 18 ) = 15 m / sec . length of the train = ( speed x time ) . length of the train = 15 x 4 m = 60 m . answer : c""","a ) 90 , b ) 120 , c ) 60 , d ) 95 , e ) 75",c,"multiply(divide(multiply(50, const_1000), const_3600), 4)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics,Category: physics # speed = ( 54 x 5 / 18 ) = 15 m / sec . length of the train = ( speed x time ) . length of the train = 15 x 4 m = 60 m . answer : c # ,Category: physics # speed = ( 54 x 5 / 18 ) = 15 m / sec . length of the train = ( speed x time ) . length of the train = 15 x 4 m = 60 m . answer : c # a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ?,category physics speed 54 x 5 18 15 sec length train speed x time length train 15 x 4 60 answer c train running speed 50 km hr crosses post 4 seconds length train,1,['Category: physics # speed = ( 54 x 5 / 18 ) = 15 m / sec. length of the train = ( speed x time ). length of the train = 15 x 4 m = 60 m. answer : c # ƫ ng the train in km / hr and the train is traveling in opposite direction. the length of the train is 6 metre and width is 3 metre. find the length of the train?'],"(0.6, 2.0)"
72,"if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream",speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c,"a ) 6 kmph , b ) 5 kmph , c ) 2 kmph , d ) 3 kmph , e ) 4 kmph",c,"divide(subtract(77, 49), multiply(7, const_2))","multiply(n2,const_2)|subtract(n1,n0)|divide(#1,#0)",physics,Category: physics # speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c # ,"Category: physics # speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c # if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream",category physics speed upstream 49 7 7 kmph speed stream 77 7 11 kmph speed stream ½ 11 7 2 kmph answer c soundharya rows 49 km upstream 77 km steam taking 7 hours speed stream,3,['Category: physics # speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c # т current is the speed of a boat in still water. the sped of the boat in current is 49 km / hr and the speed of the stream is 77 km / hr. the distance against the stream in which the man rows to the nearest place is?'],"(0.6, 1.0)"
75,"20 beavers , working together in a constant pace , can build a dam in 6 hours . how many hours will it take 12 beavers that work at the same pace , to build the same dam ?","""total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a""","a ) 10 . , b ) 4 . , c ) 5 . , d ) 6 , e ) 8 .",a,"divide(multiply(6, 20), 12)","multiply(n0,n1)|divide(#0,n2)|",physics,Category: physics # total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a # ,"Category: physics # total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a # 20 beavers , working together in a constant pace , can build a dam in 6 hours . how many hours will it take 12 beavers that work at the same pace , to build the same dam ?",category physics total work 20 6 120 beaver hours 12 beaver x 120 beaver hours x 120 12 10 answer 20 beavers working together constant pace build dam 6 hours many hours take 12 beavers work pace build dam,5,"['Category: physics # total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a # т can finish a work in 12 days, b and c in 6 days, 7 take 12 days and 6 take 4 days respectively. if the work done by them in 3 days is the same, how many days will it take to finish the work?']","(0.44, 6.0)"
78,"two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many t hours will it take if jim types the report and mary edits it immediately after he is done ?","""break down the problem into two pieces : typing and editing . mary needs 30 hours to type the report - - > mary ' s typing rate = 1 / 30 ( rate reciprocal of time ) ( point 1 in theory below ) ; mary and jim can type up a report in 12.5 and - - > 1 / 30 + 1 / x = 1 / 12.5 = 2 / 25 ( where x is the time needed for jim to type the report alone ) ( point 23 in theory below ) - - > x = 150 / 7 ; jim needs 12 hours to edit the report - - > jim ' s editing rate = 1 / 12 ; mary and jim can edit a report in 7.5 and - - > 1 / y + 1 / 12 = 1 / 7.5 = 2 / 15 ( where y is the time needed for mary to edit the report alone ) - - > y = 20 ; how many t hours will it take if jim types the report and mary edits it immediately after he is done - - > x + y = 150 / 7 + 20 = ~ 41.4 answer : a .""","a ) 41.4 , b ) 34.1 , c ) 13.4 , d ) 12.4 , e ) 10.8",a,"add(inverse(subtract(divide(const_1, 12.5), divide(const_1, 30))), inverse(subtract(divide(const_1, 7.5), divide(const_1, 12))))","divide(const_1,n0)|divide(const_1,n2)|divide(const_1,n1)|divide(const_1,n3)|subtract(#0,#1)|subtract(#2,#3)|inverse(#4)|inverse(#5)|add(#6,#7)|",physics,Category: physics # break down the problem into two pieces : typing and editing . mary needs 30 hours to type the report - - > mary ' s typing rate = 1 / 30 ( rate reciprocal of time ) ( point 1 in theory below ) ; mary and jim can type up a report in 12.5 and - - > 1 / 30 + 1 / x = 1 / 12.5 = 2 / 25 ( where x is the time needed for jim to type the report alone ) ( point 23 in theory below ) - - > x = 150 / 7 ; jim needs 12 hours to edit the report - - > jim ' s editing rate = 1 / 12 ; mary and jim can edit a report in 7.5 and - - > 1 / y + 1 / 12 = 1 / 7.5 = 2 / 15 ( where y is the time needed for mary to edit the report alone ) - - > y = 20 ; how many t hours will it take if jim types the report and mary edits it immediately after he is done - - > x + y = 150 / 7 + 20 = ~ 41.4 answer : a . # ,"Category: physics # break down the problem into two pieces : typing and editing . mary needs 30 hours to type the report - - > mary ' s typing rate = 1 / 30 ( rate reciprocal of time ) ( point 1 in theory below ) ; mary and jim can type up a report in 12.5 and - - > 1 / 30 + 1 / x = 1 / 12.5 = 2 / 25 ( where x is the time needed for jim to type the report alone ) ( point 23 in theory below ) - - > x = 150 / 7 ; jim needs 12 hours to edit the report - - > jim ' s editing rate = 1 / 12 ; mary and jim can edit a report in 7.5 and - - > 1 / y + 1 / 12 = 1 / 7.5 = 2 / 15 ( where y is the time needed for mary to edit the report alone ) - - > y = 20 ; how many t hours will it take if jim types the report and mary edits it immediately after he is done - - > x + y = 150 / 7 + 20 = ~ 41.4 answer : a . # two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many t hours will it take if jim types the report and mary edits it immediately after he is done ?",category physics break problem two pieces typing editing mary needs 30 hours type report mary typing rate 1 30 rate reciprocal time point 1 theory mary jim type report 125 1 30 1 x 1 125 2 25 x time needed jim type report alone point 23 theory x 150 7 jim needs 12 hours edit report jim editing rate 1 12 mary jim edit report 75 1 1 12 1 75 2 15 time needed mary edit report alone 20 many hours take jim types report mary edits immediately done x 150 7 20 414 answer two consultants type report 125 hours edit 75 hours mary needs 30 hours type report jim needs 12 hours edit alone many hours take jim types report mary edits immediately done,2,"[""Category: physics # break down the problem into two pieces : typing and editing. mary needs 30 hours to type the report - - > mary's typing rate = 1 / 30 ( rate reciprocal of time ) ( point 1 in theory below ) ; mary and jim can type up a report in 12.5 and - - > 1 / 30 + 1 / x = 1 / 12.5 = 2 / 25 ( where x is the time needed for jim to type the report alone ) ( point 23 in theory below ) - - > x = 150 / 7 ; jim needs 12 hours to edit the report - - > jim's editing rate = 1 / 12 ; mary and jim can edit a report in 7.5 and - - > 1 / y + 1 / 12 = 1 / 7.5 = 2 / 15 ( where y is the time needed for mary to edit the report alone ) - - > y = 20 ; how many t hours will it take if jim types the report and mary edits it immediately after he is done - - > x + y = 150 / 7 + 20 = ~ 41.4 answer : a. # ian spent 1 / 6 of her typing rate at the rest on her editing rate at the rest on her normal typing rate at the rest on her normal typing rate at the rest on the normal typing rate at the rest on her normal typing rate. if she spent 3 / 4 of her typing rate at the rest on her normal typing rate for the rest on her normal typing rate, what fraction of her typing rate was she spend on her normal typing rate?""]","(0.76, 4.0)"
